time,pwm,ax,ay,az,gx,gy,gz,vibration,label
2930012,150,-0.0436,0.0884,-0.0491,-1.98,-0.66,1.11,0.1209,1
2930022,150,0.0253,0.0044,-0.0434,-1.14,-2.29,-2.86,0.1151,1
2930032,150,-0.0043,0.0560,-0.0387,-0.98,-0.01,-0.01,0.1107,1
2930042,150,-0.1179,0.1129,-0.1191,0.38,4.65,7.58,0.1107,1
2930052,150,0.0057,0.0714,-0.0157,-1.31,4.53,-1.68,0.1039,1
2930062,150,-0.1188,-0.0321,0.0081,-3.95,6.75,5.32,0.1027,1
2930072,150,-0.0812,-0.0404,-0.0372,-3.91,4.03,3.11,0.1052,1
2930082,150,-0.0729,0.1570,-0.1321,-0.66,-0.24,3.54,0.1223,1
2930092,150,-0.0797,0.0448,-0.0643,-1.14,4.38,3.79,0.1239,1
2930102,150,0.0243,-0.0197,-0.0311,-3.89,5.73,1.85,0.1234,1
2930111,150,0.0243,-0.0197,-0.0311,-3.89,5.73,1.85,0.1192,1
2930122,150,-0.0732,0.0503,-0.0950,-1.20,-0.38,-0.47,0.1251,1
2930132,150,0.0956,-0.0093,-0.0271,-0.20,0.01,-5.66,0.1272,1
2930142,150,-0.0115,0.0499,-0.1185,-4.43,2.08,4.22,0.1173,1
2930152,150,-0.0942,-0.0255,0.0759,-3.66,7.73,7.21,0.1214,1
2930162,150,-0.0747,0.1005,-0.1164,-5.16,8.31,7.76,0.1271,1
2930172,150,0.0367,0.0899,-0.0919,-3.66,-2.20,-2.66,0.1303,1
2930182,150,0.0201,-0.0255,0.0081,-0.01,-0.01,-0.01,0.1111,1
2930192,150,-0.0355,0.1220,-0.0832,-4.70,-2.40,3.42,0.1158,1
2930202,150,-0.1172,-0.0008,0.0036,-4.31,4.91,11.18,0.1208,1
2930212,150,-0.0257,0.0528,-0.0759,-1.00,4.40,6.55,0.1237,1
2930222,150,0.0430,-0.0740,-0.0343,-7.02,1.11,1.85,0.1203,1
2930232,150,-0.0161,0.0177,0.0402,-1.00,0.38,-3.21,0.1170,1
2930242,150,0.0452,0.0114,0.0358,1.55,2.05,0.98,0.1112,1
2930252,150,0.0502,0.0338,-0.0538,-0.01,-0.01,-0.01,0.1072,1
2930261,150,0.0502,0.0338,-0.0538,-0.01,-0.01,-0.01,0.0961,1
2930272,150,-0.0529,0.0138,0.0059,-0.98,2.68,4.49,0.0880,1
2930282,150,-0.1395,0.0351,-0.0629,-4.44,5.82,4.79,0.1005,1
2930292,150,-0.0271,0.0696,-0.0558,-1.41,3.29,5.66,0.0930,1
2930302,150,0.0798,-0.0550,0.0631,-3.97,0.73,-0.97,0.0928,1
2930312,150,-0.0517,-0.0038,0.0232,-4.61,4.40,6.79,0.0896,1
2930322,150,0.0109,0.0107,0.0184,-3.24,2.51,0.31,0.0850,1
2930332,150,-0.0170,-0.0177,0.0108,-3.73,5.56,1.24,0.0842,1
2930342,150,-0.1842,0.0691,-0.0827,-4.22,6.85,8.11,0.1063,1
2930352,150,-0.0778,0.0186,0.0490,0.57,3.66,2.26,0.1073,1
2930362,150,-0.0081,-0.0486,-0.0683,-6.14,2.86,1.38,0.1076,1
2930371,150,-0.0081,-0.0486,-0.0683,-6.14,2.86,1.38,0.1094,1
2930382,150,0.0303,-0.0855,0.0568,1.25,-0.18,-3.10,0.1032,1
2930392,150,-0.0152,-0.0194,0.0003,-4.27,4.77,4.49,0.0992,1
2930402,150,-0.0259,0.0798,-0.0821,-4.85,-0.77,3.38,0.0994,1
2931280,150,-0.0259,0.0798,-0.0821,-4.85,-0.77,3.38,0.1046,1
2931282,150,-0.0259,0.0798,-0.0821,-4.85,-0.77,3.38,0.1107,1
2931292,150,0.0261,0.1112,-0.1343,1.96,-1.08,1.71,0.1237,1
2931302,150,0.1362,-0.0070,0.0856,-2.40,-4.24,-9.72,0.1155,1
2932311,150,0.1362,-0.0070,0.0856,-2.40,-4.24,-9.72,0.1227,1
2932314,150,-0.0104,0.1145,-0.0691,-1.73,1.11,4.24,0.1271,1
2932323,150,0.0452,-0.0553,0.0636,1.63,-1.28,-3.04,0.1279,1
2932333,150,0.0715,-0.1276,0.1318,-0.30,-0.51,1.11,0.1381,1
2932343,150,-0.0480,0.0454,-0.1534,-4.23,0.14,1.69,0.1477,1
2932353,150,0.0542,-0.0977,0.2116,2.96,0.87,-2.92,0.1617,1
2932363,150,-0.0893,-0.1118,0.1009,2.21,5.60,-7.50,0.1669,1
2932373,150,-0.1601,-0.0190,-0.0018,3.27,6.59,-0.15,0.1705,1
2932383,150,-0.2062,-0.0085,-0.1102,-1.98,7.98,5.02,0.1773,1
2932393,150,-0.2568,-0.0321,-0.7420,-3.93,-3.93,-3.93,0.3010,1
2932403,150,-0.1785,0.0081,-0.2217,-3.01,-3.77,2.23,0.3100,1
2932413,150,-0.0456,0.0137,-0.1602,-5.09,-3.38,4.98,0.3116,1
2932423,150,0.0905,-0.0937,0.0037,-3.88,-0.22,7.31,0.3129,1
2932433,150,0.1378,0.0324,0.0579,-5.47,-3.03,-3.40,0.3104,1
2932443,150,0.0220,0.0601,0.0697,-2.63,3.10,-6.63,0.3073,1
2932453,150,-0.1297,-0.0085,0.0648,-0.26,7.18,5.86,0.3014,1
2932463,150,-0.0597,-0.0459,-0.0169,-3.14,3.88,1.93,0.2973,1
2932473,150,-0.1622,-0.0552,-0.1001,-2.11,5.86,4.31,0.2995,1
2932483,150,-0.0466,0.0479,-0.1429,-1.91,1.13,5.12,0.2945,1
2932493,150,0.1173,0.0168,0.1155,0.10,0.88,-7.25,0.1664,1
2932503,150,0.0104,0.1024,-0.0290,-2.24,-2.85,-0.79,0.1440,1
2932513,150,0.1274,-0.0318,0.0458,-2.09,-2.73,-3.68,0.1410,1
2932523,150,-0.0738,0.0629,0.0618,-1.40,5.81,7.63,0.1397,1
2932533,150,-0.0660,-0.0031,0.0686,-2.63,5.75,6.38,0.1344,1
2932543,150,-0.0426,-0.0536,-0.0708,-6.49,5.78,6.79,0.1347,1
2932553,150,-0.0983,0.0874,-0.1434,-4.18,4.88,5.11,0.1408,1
2932563,150,-0.1029,0.0415,-0.1539,-2.37,4.75,4.27,0.1511,1
2932573,150,-0.1072,0.1086,-0.1503,-4.72,-0.05,3.08,0.1532,1
2932583,150,0.0648,-0.1293,0.1759,-3.80,4.30,2.25,0.1618,1
