time,pwm,ax,ay,az,gx,gy,gz,vibration,label
814176,0,-0.1374,0.0794,-0.0547,-4.51,0.91,-21.38,0.2686,2
814186,0,0.1297,-0.3098,0.0540,-8.69,-0.39,9.96,0.2861,2
814196,0,-0.1412,0.2993,-0.1580,0.22,8.45,20.25,0.3082,2
814206,0,-0.2492,0.3881,-0.2307,-17.90,-0.11,31.53,0.3413,2
814216,0,0.0238,0.7400,-0.0392,-5.76,-5.08,40.60,0.4134,2
814226,0,-0.0636,0.1501,-0.0126,-25.37,2.13,-28.53,0.4131,2
814236,0,-0.0270,-0.0495,-0.0074,-32.83,0.03,-6.87,0.3803,2
814246,0,0.0552,-0.3105,0.0430,4.43,2.77,9.18,0.3583,2
814256,0,-0.1001,0.4007,-0.1051,-7.22,-2.05,6.48,0.3810,2
814266,0,0.1293,0.3370,-0.0977,-8.23,-1.11,-1.52,0.3933,2
814276,0,-0.0798,0.3888,-0.0883,-29.14,4.56,4.81,0.4104,2
814286,0,-0.0492,0.1256,-0.0032,-5.47,-0.59,-15.02,0.3983,2
814296,0,0.0355,-0.0439,-0.0295,-5.62,-1.38,-15.24,0.3816,2
814306,0,0.0234,-0.1294,0.0289,-4.11,1.89,-8.73,0.3476,2
814316,0,0.0014,-0.1777,0.0440,4.98,3.66,10.90,0.2631,2
814326,0,0.0161,-0.0065,-0.0002,-8.29,1.02,-4.32,0.2580,2
814336,0,-0.0870,-0.0130,-0.0159,-6.84,3.69,6.18,0.2589,2
814346,0,0.0559,-0.0253,-0.0091,-2.53,1.00,-3.53,0.2393,2
814356,0,-0.0453,-0.0142,0.0011,-5.50,0.91,-2.79,0.1984,2
814366,0,-0.0936,-0.0871,-0.0684,2.75,4.99,-1.03,0.1657,2
814375,0,-0.0936,-0.0871,-0.0684,2.75,4.99,-1.03,0.1142,2
814386,0,0.0220,-0.0129,0.0163,-15.15,4.55,21.60,0.1063,2
814396,0,0.0982,-0.1482,0.0487,-2.27,6.72,8.42,0.1196,2
814406,0,0.1160,-0.3426,0.1722,9.10,4.07,-11.55,0.1689,2
814416,0,-0.2476,0.0946,-0.1503,-10.47,2.59,17.50,0.1857,2
814426,0,0.1523,0.1794,0.0344,3.40,-1.43,32.33,0.2002,2
814436,0,0.1223,0.2819,0.0294,-6.34,2.05,-0.35,0.2210,2
814446,0,-0.0716,0.3206,-0.0768,-4.03,5.92,-0.31,0.2446,2
814456,0,-0.2444,0.2838,-0.0925,-7.51,3.85,-4.08,0.2729,2
814466,0,0.1036,-0.1916,0.0136,-9.09,-5.01,-24.12,0.2777,2
814476,0,-0.2159,0.0880,-0.0961,-20.20,-2.84,9.29,0.2853,2
814486,0,-0.1225,0.1283,-0.0568,-9.08,-2.06,-1.56,0.2911,2
814496,0,-0.0063,0.0587,-0.0682,-4.73,0.43,-3.49,0.2867,2
814506,0,-0.0304,0.0663,0.0206,1.60,4.69,-5.21,0.2583,2
814516,0,-0.1193,0.1127,-0.0963,2.48,3.63,4.93,0.2471,2
814526,0,-0.2078,0.1007,-0.1003,-7.94,0.86,8.12,0.2485,2
814536,0,-0.0038,-0.0580,-0.0355,-10.05,1.73,-7.52,0.2295,2
814546,0,0.0065,0.0534,-0.0235,-6.21,0.48,-11.42,0.2040,2
814556,0,0.0178,-0.0916,0.0469,-3.70,2.05,-8.07,0.1669,2
814566,0,0.0286,-0.0213,-0.0251,11.50,4.36,11.40,0.1525,2
814576,0,-0.0314,0.1106,-0.0438,-0.06,3.08,15.20,0.1357,2
814586,0,0.1311,0.0918,-0.0358,-11.27,-2.43,4.39,0.1328,2
814596,0,0.0011,0.0157,-0.0080,-18.56,0.60,10.54,0.1298,2
814606,0,0.0372,-0.4550,0.1334,8.85,8.86,-5.14,0.1973,2
814616,0,0.0065,-0.6157,0.1237,33.88,9.54,22.21,0.2734,2
814626,0,-0.0390,-0.0758,0.0218,35.04,10.73,40.53,0.2630,2
814636,0,0.1727,-0.0854,0.0198,23.26,7.74,23.56,0.2692,2
814646,0,-0.0503,0.3115,-0.0972,7.96,6.22,8.77,0.2881,2
814656,0,-0.0586,0.2816,-0.0559,0.90,2.59,-7.80,0.3008,2
814666,0,-0.0306,0.1227,-0.0576,-3.80,2.73,-0.89,0.3037,2
